"","logFC","logCPM","F","PValue","FDR"
"SLC35G4",0.378589642589698,7.21075786797977,16.4106607782979,6.943852512236e-05,0.000170833506766549
"EXOSC5",-0.350538329496242,7.3574518900602,16.3937771310184,7.00186522011161e-05,0.000172146586922559
"TGFBR3L",0.323578862428869,7.96543665996992,16.360325034058,7.11826338808769e-05,0.000174892431588115
"FLYWCH2",0.317745647642435,7.62243126979459,16.3440940031849,7.17544511585242e-05,0.000176180684181419
"WIPF3",0.373103075896697,7.35941138823913,16.3098998136005,7.29743996923807e-05,0.000179057554800749
"PSMG3",-0.30611434956589,7.85034699932563,16.2772066231825,7.41604648272616e-05,0.000181847537679538
"RPL17",0.370751453880736,9.14345063205793,16.2584313000625,7.48504264889879e-05,0.000183418152096529
"EPHB1",0.330437864118847,7.60062976340394,16.2151954480345,7.64641329043931e-05,0.000187248800709768
"AGO1",-0.312465185249194,8.12160511168869,16.2028508427931,7.69313175991761e-05,0.000188268593860781
"NUTM2A",0.370051261134422,7.29957813708564,16.1967473011142,7.71633760815596e-05,0.000188712014016207
"NRSN2",0.346477555222142,7.2572358271305,16.1765586151486,7.79360256546464e-05,0.000190476057429999
"FAM25A",0.38082817103539,7.32051144754255,16.1561111994814,7.87265761851623e-05,0.000192281499438415
"NOP53",0.391077104519443,8.44085816515731,16.1521899577259,7.88791085040345e-05,0.000192527297730242
"CD3E",0.459637107820227,7.27142113165208,16.0963889133024,8.10824801872236e-05,0.000197775148911637
"MFSD4A",0.354328967535063,7.34768726106422,16.0486097970947,8.30186537878461e-05,0.000202364786828455
"THAP12",0.362290706307527,7.3185493782839,15.9941478947646,8.52829093363741e-05,0.000207747599236998
"STK38",-0.343833061544961,7.30136737362122,15.9678298404125,8.63994317338793e-05,0.000210329325283919
"VSIG8",0.326601314199826,8.19315146857852,15.9522262702712,8.70683900949339e-05,0.000211818837542429
"DOK7",0.362331567072269,7.35991676429558,15.9418077579061,8.75179766230697e-05,0.000212773062432234
"GDF15",-0.498669641436616,7.14880782471838,15.934206683235,8.83498642306892e-05,0.000214654876421648
"MTDH",-0.332371084539989,7.32786479456261,15.8958894534504,8.95277040949251e-05,0.000217374203005348
"CSRNP1",0.373319152444734,7.33561636914854,15.8828983456335,9.01047423515955e-05,0.000218632174051288
"GBA",-0.37561781979528,7.19875251968163,15.8633493126632,9.09801883982653e-05,0.00022041955861169
"MBD3L2",0.303404167832522,7.78630129510354,15.8631739665917,9.09880796742978e-05,0.00022041955861169
"COL6A1",0.489154067222847,8.0777391734876,15.9141917319787,9.10516974623111e-05,0.00022041955861169
"TGFBR2",0.370190133545136,7.54672092493171,15.8611542483209,9.10790251621889e-05,0.00022041955861169
"ACHE",0.32680561222005,7.30570217560876,15.8372384767559,9.21629600095673e-05,0.000222897380466424
"DGKQ",0.281068441876409,8.83424705064573,15.8087105347617,9.34730622717927e-05,0.000225918606533128
"BEGAIN",0.359921143527038,7.32597807866885,15.7730051756559,9.51394323233278e-05,0.000229796415312204
"ATF3",-0.361388316830329,8.32508948446548,15.7635282825844,9.55867584415435e-05,0.000230726658307174
"PLPP4",0.310001558467426,8.25564106389348,15.7590120439249,9.5800682942934e-05,0.000231092674719301
"RAB1B",-0.285238638975783,8.01159992070948,15.7497088343868,9.62428878812683e-05,0.000232008521143278
"TPD52",-0.320810152779526,7.65294609322104,15.7371533660335,9.68429657471956e-05,0.000233303508390971
"RAPGEFL1",0.352290823674871,8.94342204862007,15.6913639588358,9.90637782798766e-05,0.000238498778337665
"SORL1",-0.326338442736619,7.79983713613918,15.6468561660096,0.000101271951986254,0.000243656901341766
"CLDN16",-0.305482589427644,7.63430763036874,15.6064370580154,0.000103320520197041,0.000248424581938445
"IL7R",0.671958385479409,7.48921252666311,15.653378389848,0.000104225463616875,0.000250438128250393
"RPS3",0.379412071100829,10.1208664659346,15.5679594965606,0.000105309742637901,0.000252879705622403
"PLIN5",0.325225438397677,7.98247098377676,15.501011321638,0.00010886394014186,0.000261245289732406
"C3",0.823130296662516,8.18925407435676,15.5587786459367,0.000109251464604012,0.000262005774842202
"MTHFS",-0.29405962813225,7.74656886213058,15.4847425034644,0.000109745862426012,0.000263021414470609
"NBPF12",0.303906212005623,8.75185044358391,15.4563486152875,0.0001113024807716,0.000266579860337403
"HINFP",0.304616315466284,7.90373737309261,15.441355428305,0.000112133460453723,0.000268396863408588
"LIPF",0.366754298009023,7.21216307738853,15.4346312629706,0.000112508181289856,0.000269120149958328
"UBE2Q2L",0.357680786306733,7.3796236845333,15.4262907541719,0.000112974742795584,0.000270062046244599
"PSMC1",-0.301136377224397,7.50895321168363,15.4062043918641,0.000114106431399367,0.00027259166805644
"SRPK2",-0.295564948909134,7.48576002936992,15.3479643653922,0.000117453201711632,0.000280406292374617
"HLA-DMA",0.52314457928574,7.80557253939707,15.3903616566829,0.000118270403368731,0.000282175689066233
